[2026-04-01 08:16] ❌ SSH连接失败（连续第118次）
[2026-04-01 08:31] ❌ SSH连接失败（连续第119次）
[2026-04-01 08:46] ❌ SSH连接失败（连续第120次）
[2026-04-01 09:01] ❌ SSH连接失败（连续第121次）
[2026-04-01 09:16] ❌ SSH连接失败（连续第122次）
[2026-04-01 09:31] ❌ SSH连接失败（连续第123次）
[2026-04-01 09:46] ❌ SSH连接失败（连续第124次）
[2026-04-01 10:01] ❌ SSH连接失败（连续第125次）
[2026-04-01 10:16] ❌ SSH连接失败（连续第126次）
[2026-04-01 10:32] ❌ SSH连接失败（连续第127次）
[2026-04-01 10:47] ❌ SSH连接失败（连续第128次）
[2026-04-01 11:02] ❌ SSH连接失败（连续第129次）
[2026-04-01 11:17] ❌ SSH连接失败（连续第130次）
[2026-04-01 11:32] ❌ SSH连接失败（连续第131次）
[2026-04-01 11:47] ❌ SSH连接失败（连续第132次）
[2026-04-01 12:02] ❌ SSH连接失败（连续第133次）
[2026-04-01 12:17] ❌ SSH连接失败（连续第134次）
[2026-04-01 12:32] ❌ SSH连接失败（连续第135次）
[2026-04-01 12:47] ❌ SSH连接失败（连续第136次）
[2026-04-01 13:02] ❌ SSH连接失败（连续第137次）
[2026-04-01 13:17] ❌ SSH连接失败（连续第138次）
[2026-04-01 13:32] ❌ SSH连接失败（连续第139次）
[2026-04-01 13:47] ❌ SSH连接失败（连续第140次）
[2026-04-01 14:02] ❌ SSH连接失败（连续第141次）
[2026-04-01 14:17] ❌ SSH连接失败（连续第142次）
[2026-04-01 14:32] ❌ SSH连接失败（连续第143次）
[2026-04-01 14:47] ❌ SSH连接失败（连续第144次）
[2026-04-01 15:02] ❌ SSH连接失败（连续第145次）
[2026-04-01 15:17] ❌ SSH连接失败（连续第146次）
[2026-04-01 15:32] ❌ SSH连接失败（连续第147次）
[2026-04-01 15:47] ❌ SSH连接失败（连续第148次）
[2026-04-01 16:02] ❌ SSH连接失败（连续第149次）
[2026-04-01 16:17] ❌ SSH连接失败（连续第150次）
[2026-04-01 16:32] ❌ SSH连接失败（连续第151次）
[2026-04-01 16:47] ❌ SSH连接失败（连续第152次）
[2026-04-01 17:02] ❌ SSH连接失败（连续第153次）
[2026-04-01 17:17] ❌ SSH连接失败（连续第154次）
[2026-04-01 17:32] ❌ SSH连接失败（连续第155次）
[2026-04-01 17:47] ❌ SSH连接失败（连续第156次）
[2026-04-01 18:02] ❌ SSH连接失败（连续第157次）
[2026-04-01 18:17] ❌ SSH连接失败（连续第158次）
[2026-04-01 18:32] ❌ SSH连接失败（连续第159次）
[2026-04-01 18:47] ❌ SSH连接失败（连续第160次）
[2026-04-01 19:02] ❌ SSH连接失败（连续第161次）
[2026-04-01 19:17] ❌ SSH连接失败（连续第162次）
[2026-04-01 19:32] ❌ SSH连接失败（连续第163次）
[2026-04-01 19:47] ❌ SSH连接失败（连续第164次）
[2026-04-01 20:02] ❌ SSH连接失败（连续第165次）
[2026-04-01 20:17] ❌ SSH连接失败（连续第166次）
[2026-04-01 20:32] ❌ SSH连接失败（连续第167次）
[2026-04-01 20:47] ❌ SSH连接失败（连续第168次）
[2026-04-01 21:02] ❌ SSH连接失败（连续第169次）
[2026-04-01 21:17] ❌ SSH连接失败（连续第170次）
[2026-04-01 21:32] ❌ SSH连接失败（连续第171次）
[2026-04-01 21:47] ❌ SSH连接失败（连续第172次）
[2026-04-01 22:02] ❌ SSH连接失败（连续第173次）
[2026-04-01 22:17] ❌ SSH连接失败（连续第174次）
[2026-04-01 22:32] ❌ SSH连接失败（连续第175次）
[2026-04-01 22:47] ❌ SSH连接失败（连续第176次）
[2026-04-01 23:02] ❌ SSH连接失败（连续第177次）
[2026-04-01 23:17] ❌ SSH连接失败（连续第178次）
[2026-04-01 23:32] ❌ SSH连接失败（连续第179次）
[2026-04-01 23:47] ❌ SSH连接失败（连续第180次）
[2026-04-02 00:02] ❌ SSH连接失败（连续第181次）
[2026-04-02 00:17] ❌ SSH连接失败（连续第182次）
[2026-04-02 00:32] ❌ SSH连接失败（连续第183次）
[2026-04-02 00:47] ❌ SSH连接失败（连续第184次）
[2026-04-02 01:02] ❌ SSH连接失败（连续第185次）
[2026-04-02 01:17] ❌ SSH连接失败（连续第186次）
[2026-04-02 01:32] ❌ SSH连接失败（连续第187次）
[2026-04-02 01:47] ✅ 第287次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, ADA/1h | 内存: 6.0/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 02:02] ✅ 第288次检查 | 2工位: ADA/1h, ADA/1h | 内存: 2.1/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 02:17] ✅ 第289次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 1.5/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 02:32] ✅ 第290次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 7.7/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 02:47] ✅ 第291次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.1/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 03:02] ✅ 第292次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 03:17] ✅ 第293次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 03:32] ✅ 第294次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 03:47] ✅ 第295次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 04:02] ✅ 第296次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 04:17] ✅ 第297次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 04:32] ✅ 第298次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 04:47] ✅ 第299次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 05:02] ✅ 第300次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 05:17] ✅ 第301次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 05:32] ✅ 第302次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 05:47] ✅ 第303次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 06:03] ✅ 第304次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 06:18] ✅ 第305次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 06:33] ✅ 第306次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 06:48] ✅ 第307次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 07:03] ✅ 第308次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 07:18] ✅ 第309次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 07:33] ✅ 第310次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
[2026-04-02 07:48] ✅ 第311次检查 | 4工位: ADA/1h, ADA/1h, ADA/1h, AVAX/1h | 内存: 8.2/24.5GB | 毕业生: 4个 | 进度: 无进度
